idhog,idper,estrato,comuna,sexo,edad,educ,ascendencia,salud,pobre,ingreso
2015000330,1,B ,13,H,43,16,BLANCA     ,NO,NO,27546
2015000336,1,MA,5,H,34,17,OTRA       ,NO,NO,31554
2015000336,2,MA,5,M,30,16,BLANCA     ,NO,NO,21554
2015000350,1,MA,5,H,55,12,BLANCA     ,NO,NO,16553
2015000353,2,MA,5,H,35,14,BLANCA     ,NO,NO,21777
2015000356,3,MA,16,M,47,12,BLANCA     ,NO,NO,18426
2015000358,1,MB,3,M,51,9,BLANCA     ,NO,NO,18253
2015000358,2,MB,3,H,19,9,BLANCA     ,NO,NO,23553
2015000368,2,B ,18,H,47,5,BLANCA     ,SI,NO,17394
2015000376,2,MB,9,H,21,9,AFRO       ,NO,NO,20000
2015000380,1,MB,11,M,32,6,BLANCA     ,NO,NO,16646
2015000380,2,MB,11,M,24,8,BLANCA     ,NO,NO,12946
2015000396,1,A ,5,H,54,15,BLANCA     ,NO,NO,42456
2015000399,1,B ,12,M,46,6,BLANCA     ,SI,NO,31054
2015000399,2,B ,12,H,27,12,BLANCA     ,NO,NO,25554
2015000399,3,B ,12,H,34,9,BLANCA     ,NO,NO,13554
2015000400,3,MB,10,H,42,8,BLANCA     ,NO,NO,17054
2015000401,1,M ,13,H,34,8,BLANCA     ,NO,NO,17554
2015000411,2,A ,5,M,52,12,BLANCA     ,NO,NO,18654
2015000411,3,A ,5,M,25,18,BLANCA     ,NO,NO,16554
2015000413,1,MA,8,H,32,12,BLANCA     ,SI,NO,31554
2015000419,1,MB,9,H,32,9,BLANCA     ,SI,SI,20000
2015000420,1,B ,17,H,37,9,BLANCA     ,NO,NO,22554
2015000448,1,MA,13,H,50,20,BLANCA     ,NO,NO,34554
2015000449,1,MA,8,H,63,12,BLANCA     ,NO,NO,26153
2015000450,1,A ,15,H,46,11,BLANCA     ,NO,NO,55053
2015000458,1,MA,4,M,26,15,BLANCA     ,NO,NO,12046
2015000461,3,A ,5,H,46,16,BLANCA     ,NO,NO,31546
2015000472,1,MA,2,M,80,8,BLANCA     ,NO,NO,25004
2015000476,1,MA,3,H,33,12,BLANCA     ,NO,NO,24046
2015000488,1,A ,7,H,37,11,BLANCA     ,NO,NO,36054
2015000490,1,MA,3,H,34,18,BLANCA     ,NO,NO,71554
2015000490,2,MA,3,M,31,18,BLANCA     ,NO,NO,47254
2015000499,1,MB,6,H,51,8,BLANCA     ,NO,NO,36698
2015000501,1,B ,17,H,64,10,BLANCA     ,NO,NO,61548
2015000501,2,B ,17,M,53,9,BLANCA     ,NO,NO,22548
2015000502,1,MA,16,H,39,15,BLANCA     ,NO,NO,46546
2015000502,2,MA,16,M,43,18,BLANCA     ,NO,NO,34546
2015000505,1,B ,17,H,32,10,BLANCA     ,NO,NO,31157
2015000505,2,B ,17,M,31,16,BLANCA     ,NO,NO,24048
2015000506,1,MA,5,M,36,20,BLANCA     ,NO,NO,25046
2015000506,2,MA,5,H,38,11,BLANCA     ,NO,NO,43546
2015000508,1,B ,11,H,63,6,BLANCA     ,NO,NO,40000
2015000513,1,A ,5,M,43,17,BLANCA     ,NO,NO,41546
2015000513,2,A ,5,H,61,17,BLANCA     ,NO,NO,16546
2015000521,1,A ,5,H,28,17,BLANCA     ,NO,NO,36546
2015000521,2,A ,5,M,26,18,BLANCA     ,NO,NO,68212.66667
2015000522,1,MA,1,M,40,19,BLANCA     ,NO,NO,41426
2015000523,2,M ,9,M,40,9,BLANCA     ,NO,NO,16553
2015000523,3,M ,9,H,35,9,BLANCA     ,NO,NO,26453
2015000525,1,M ,13,M,43,15,BLANCA     ,NO,NO,28553
2015000532,1,M ,11,M,59,12,BLANCA     ,NO,NO,12500
2015000532,2,M ,11,H,23,12,BLANCA     ,NO,NO,23546
2015000544,1,M ,6,H,27,17,BLANCA     ,NO,NO,45553
2015000547,1,M ,17,M,57,9,BLANCA     ,NO,NO,16554
2015000547,2,M ,17,M,24,13,BLANCA     ,NO,NO,26210
2015000550,1,MB,13,M,41,14,BLANCA     ,NO,NO,27546
2015000562,1,MA,15,H,53,17,BLANCA     ,NO,NO,53553
2015000563,2,M ,11,H,60,10,BLANCA     ,NO,NO,16546
2015000571,1,M ,9,H,31,9,BLANCA     ,NO,NO,17553
2015000571,2,M ,9,M,28,12,BLANCA     ,NO,NO,19553
2015000576,1,MA,4,H,45,13,BLANCA     ,NO,NO,28784
2015000576,2,MA,4,M,42,14,BLANCA     ,NO,NO,21553
2015000580,2,MA,4,M,35,16,BLANCA     ,NO,NO,29553
2015000581,1,MB,17,H,28,10,BLANCA     ,NO,NO,23553
2015000581,2,MB,17,M,26,18,BLANCA     ,SI,NO,16000
2015000589,2,A ,8,M,34,15,BLANCA     ,NO,NO,25086
2015000593,1,MA,5,M,19,14,BLANCA     ,NO,NO,13484
2015000595,1,M ,11,M,35,7,BLANCA     ,NO,NO,24554
2015000595,2,M ,11,H,38,6,BLANCA     ,NO,NO,31554
2015000606,1,M ,2,M,46,9,BLANCA     ,NO,NO,14148
2015000613,1,MB,3,M,58,16,BLANCA     ,NO,NO,41546
2015000614,1,MB,10,H,38,6,BLANCA     ,SI,NO,32000
2015000618,1,A ,5,M,61,14,BLANCA     ,NO,NO,15554
2015000619,1,M ,2,M,72,8,BLANCA     ,NO,NO,13976
2015000624,1,M ,3,H,50,8,BLANCA     ,NO,NO,10000
2015000624,2,M ,3,M,46,6,BLANCA     ,NO,NO,19546
2015000624,3,M ,3,M,20,11,BLANCA     ,NO,NO,14546
2015000629,2,M ,14,H,25,15,BLANCA     ,NO,NO,28730
2015000630,3,M ,12,M,44,18,BLANCA     ,NO,NO,47928
2015000631,1,MB,10,M,73,6,BLANCA     ,NO,NO,15046
2015000631,2,MB,10,M,39,8,BLANCA     ,NO,NO,16546
2015000631,3,MB,10,H,42,12,BLANCA     ,NO,NO,16546
2015000634,2,MA,3,M,18,12,BLANCA     ,NO,NO,16000
2015000636,1,MA,2,M,59,18,BLANCA     ,NO,NO,71053
2015000639,1,MB,13,H,42,9,BLANCA     ,SI,NO,21546
2015000639,3,MB,13,H,20,9,BLANCA     ,NO,NO,12046
2015000640,1,MA,5,M,32,18,BLANCA     ,NO,NO,22500
2015000640,2,MA,5,H,31,18,BLANCA     ,NO,NO,32500
